ngram,cleaned
core_competency,core competency
desktop_computer,desktop computer
senior_adviser,senior adviser
improper_disposal,improper disposal
geographic_targeting,geographic targeting
atlas_method,method
involuntary_displacement,involuntary displacement
parking_space,parking space
headcount_index,headcount index
amazon_region,amazon region
ethnic_composition,ethnic composition
fragile_ecosystem,fragile ecosystem
cooking_fuel,cook fuel
marine_ecosystem,marine ecosystem
mosquito_net,mosquito net
immovable_asset,immovable asset
demographic_dividend,demographic dividend
improved_seed_fertilizer,improved seed fertilizer
research_fellow,research fellow
soil_compaction,soil compaction
early_morning,early morning
vacant_position,vacant position
natural_regeneration,natural regeneration
financially_autonomous,financially autonomous
biomass_fuel,biomass fuel
sensitization_campaign,sensitization campaign
city_alliance,city alliance
coconut_oil,coconut oil
petroleum_refining,petroleum refining
sexual_harassment,sexual harassment
traditional_birth_attendant,traditional birth attendant
steel_pipe,steel pipe
deep_root,deep root
endemic_specie,endemic specie
turnkey_contract,turnkey contract
preventive_medicine,preventive medicine
soviet_era,soviet era
ozone_layer,ozone layer
cold_storage_facility,cold storage facility
random_sampling,random sampling
catastrophic_event,catastrophic event
hazardous_waste_disposal,hazardous waste disposal
avian_flu,avian flu
semi_structured_interview,semi structured interview
city_hall,city hall
inpatient_care,inpatient care
accidental_spill,accidental spill
shadow_wage,shadow wage
owner_occupier,owner occupier
briefing_note,brief note
essential_medicine,essential medicine
communist_party,communist party
mother_tongue,mother tongue
sulfur_dioxide,sulfur dioxide
exportable_surplus,exportable surplus
radio_broadcast,radio broadcast
drought_relief,drought relief
steam_turbine,steam turbine
topographic_map,topographic map
humanitarian_crisis,humanitarian crisis
round_trip,round trip
game_reserve,game reserve
retail_shop,retail shop
organic_farming,organic farming
cubic_foot,cubic foot
waste_bin,waste bin
sugar_beet,sugar beet
climate_friendly,climate friendly
circuit_breaker,circuit breaker
stock_taking,stock taking
garbage_disposal,garbage disposal
excreta_disposal,excreta disposal
severe_weather,severe weather
animal_traction,animal traction
waiting_list,wait list
sexual_violence,sexual violence
soft_drink,soft drink
pacific_coast,pacific coast
submarine_cable,submarine cable
outpatient_care,outpatient care
grassroot_organization,organization
political_upheaval,political upheaval
legislative_branch,legislative branch
turbine_generator,turbine generator
political_elite,political elite
drought_prone,drought prone
unconditional_cash_transfer,unconditional cash transfer
informed_consent,informed consent
structural_imbalance,structural imbalance
endemic_disease,endemic disease
cashew_nut,cashew nut
cross_fertilization,cross fertilization
customary_tenure,customary tenure
traditional_healer,traditional healer
mother_child_transmission,mother child transmission
fax_machine,fax machine
land_requisition,land requisition
heavily_populated,heavily populated
smart_card,smart card
coastal_wetland,coastal wetland
short_coming,short coming
vaccination_campaign,vaccination campaign
hard_win,hard win
red_flag,red flag
daily_newspaper,daily newspaper
socioeconomic_profile,socioeconomic profile
bottle_neck,bottle neck
high_commissioner_refugee,high commissioner refugee
vertically_integrated,vertically integrate
broadband_network,broadband network
fiber_optic_cable,fiber optic cable
petty_cash,petty cash
open_ended,open end
driving_force,drive force
vegetable_garden,vegetable garden
tour_operator,tour operator
video_conferencing,video conferencing
ethnic_diversity,ethnic diversity
socially_inclusive,socially inclusive
fishing_gear,fishing gear
socially_vulnerable,socially vulnerable
quasi_experimental,quasi experimental
opinion_poll,opinion poll
coastal_strip,coastal strip
reproductive_age,reproductive age
peer_learning,peer learning
calorie_intake,calorie intake
calorific_value,calorific value
flow_velocity,flow velocity
sexual_behavior,sexual behavior
stepping_stone,step stone
anti_erosion,anti erosion
career_advancement,career advancement
dairy_farming,dairy farming
guest_house,guest house
holistic_view,holistic view
desk_officer,desk officer
fiscal_austerity,fiscal austerity
proof_concept,proof concept
digital_camera,digital camera
neonatal_mortality,neonatal mortality
laptop_computer,laptop computer
sand_dune,sand dune
deep_rooted,deep root
politically_acceptable,politically acceptable
radio_frequency,radio frequency
caloric_intake,caloric intake
causal_factor,causal factor
grocery_store,grocery store
imputed_value,imputed value
military_coup,military coup
palm_tree,palm tree
recycled_paper,recycled paper
cellular_phone,cellular phone
randomized_control,randomize control
wind_turbine,wind turbine
bottled_water,bottled water
motor_pump,motor pump
gender_parity_index,gender parity index
aerial_survey,aerial survey
systemic_weakness,systemic weakness
sick_leave,sick leave
log_frame,log frame
civic_participation,civic participation
blood_transfusion,blood transfusion
skilled_birth_attendance,skilled birth attendance
mobile_device,mobile device
geographical_targeting,geographical targeting
common_denominator,common denominator
chronically_poor,chronically poor
upward_mobility,upward mobility
yellow_river,yellow river
currency_swap,currency swap
propensity_score_match,propensity score match
human_trafficking,human trafficking
oil_spillage,oil spillage
driver_seat,driver seat
fishing_fleet,fishing fleet
digital_divide,digital divide
unskilled_job,unskilled job
citizen_charter,citizen charter
peace_dividend,peace dividend
passenger_fare,passenger fare
chief_justice,chief justice
taxi_driver,taxi driver
teenage_pregnancy,teenage pregnancy
hard_rock,hard rock
randomized_experiment,randomize experiment
inter_generational,inter generational
developed_nation,develop nation
generic_drug,generic drug
sexual_partner,sexual partner
mini_bus,mini bus
child_marriage,child marriage
attendance_sheet,attendance sheet
book_keeping,book keeping
news_release,news release
food_stamp,food stamp
aide_memoir,aide memoir
gulf_war,gulf war
olive_oil,olive oil
certified_seed,certify seed
deep_sea,deep sea
climatic_variability,climatic variability
ecological_restoration,ecological restoration
financially_feasible,financially feasible
breast_feeding,breast feeding
town_hall,town hall
white_collar,white collar
culture_heritage,culture heritage
natural_catastrophe,natural catastrophe
vitamin_supplementation,vitamin supplementation
petty_trade,petty trade
infant_death,infant death
soybean_oil,soybean oil
heart_disease,heart disease
ethnic_identity,ethnic identity
multidimensional_poverty,multidimensional poverty
exotic_specie,exotic specie
bio_gas,gas
mega_city,mega city
burial_site,burial site
disaster_resilient,disaster resilient
aerial_photograph,aerial photograph
chronic_illness,chronic illness
metric_tonne,metric tonne
paved_network,paved network
anti_inflationary,anti inflationary
post_natal,post natal
nutritional_supplement,nutritional supplement
cultural_belief,cultural belief
cutting_edge,cut edge
propensity_score,propensity score
drug_abuse,drug abuse
political_appointee,political appointee
multiple_cropping,multiple cropping
informal_settler,informal settler
oral_therapy,oral therapy
random_check,random check
electric_appliance,electric appliance
sole_discretion,sole discretion
acid_rain,acid rain
cocoa_bean,cocoa bean
ocean_freight,ocean freight
logistic_regression,logistic regression
bio_engineering,engineering
smart_phone,smart phone
humanitarian_relief,humanitarian relief
blood_pressure,blood pressure
square_root,square root
substance_abuse,substance abuse
non_negotiable,non negotiable
radioactive_waste,radioactive waste
heat_wave,heat wave
post_communist,post communist
drought_resistant,drought resistant
petty_trading,petty trading
coca_cola,coca cola
heat_stress,heat stress
parental_leave,parental leave
burden_proof,burden proof
iodized_salt,iodized salt
death_toll,death toll
random_error,random error
lease_holder,lease holder
composite_score,composite score
fine_art,fine art
lubricate_oil,lubricate oil
care_giver,care giver
data_gathering,datum gathering
sewing_machine,sew machine
smart_meter,smart meter
fine_particle,fine particle
infectious_waste,infectious waste
birth_attendant,birth attendant
civil_liberty,civil liberty
headcount_ratio,headcount ratio
electromagnetic_field,electromagnetic field
atmospheric_pressure,atmospheric pressure
video_camera,video camera
medicinal_herb,medicinal herb
self_explanatory,self explanatory
sampling_frame,sample frame
child_soldier,child soldier
coffee_bean,coffee bean
big_bang,big bang
panama_canal,panama canal
severance_package,severance package
walking_distance,walk distance
sulfuric_acid,sulfuric acid
blue_collar,blue collar
editorial_board,editorial board
cutoff_point,cutoff point
cross_tabulation,cross tabulation
curriculum_vitae,curriculum vitae
skin_disease,skin disease
rand_corporation,rand corporation
duke_university,duke university
washing_machine,wash machine
office_bearer,office bearer
anti_malaria,anti malaria
governing_body,govern body
tsetse_fly,tsetse fly
like_minded,like minded
clinical_trial,clinical trial
shrimp_farm,shrimp farm
odd_ratio,odd ratio
cargo_container,cargo container
digital_library,digital library
sound_proof,sound proof
food_fortification,food fortification
soviet_bloc,soviet bloc
geological_hazard,geological hazard
donor_funded,donor fund
silver_bullet,silver bullet
iron_sheet,iron sheet
log_linear,log linear
sexual_intercourse,sexual intercourse
sexual_relation,sexual relation
machine_learning,machine learning
artificial_intelligence,artificial intelligence
data_science,data science
