ngram,occ
agreement_unless_context,8581.0
counterpart_funding,8569.0
far_reach,8558.0
feeder_road,8554.0
budgetary_allocation,8534.0
primary_health_care,8517.0
close_date_rev_close,8495.0
equally_important,8489.0
extreme_poverty,8487.0
world_bank_authorization,8463.0
time_consume,8462.0
steer_committee,8454.0
notice_request_proposal,8451.0
rural_electrification,8431.0
agreement_amend,8429.0
article_execution,8428.0
safeguard_specialist,8421.0
indigenous_people_involuntary_resettlement,8409.0
percentage_custom_baseline_actual,8408.0
accordance_paragraph,8388.0
legal_entity,8350.0
prior_request_bid,8349.0
start_business,8342.0
slow_pace,8327.0
legal_status_territory,8327.0
play_major,8320.0
grievance_redress,8295.0
early_warning,8293.0
cost_overrun,8290.0
post_conflict,8265.0
dependent_variable,8257.0
step_step,8231.0
absolute_term,8230.0
active_participation,8207.0
manager_task_team,8195.0
page_conform_copy,8179.0
mortality_rate,8171.0
pest_management,8165.0
internal_rate_return,8160.0
corrective_measure,8154.0
regional_integration,8143.0
notice_request,8135.0
external_auditor,8131.0
manage_director,8119.0
highlight_importance,8095.0
memorandum_understanding,8069.0
nongovernmental_organization,8059.0
rapidly_grow,8059.0
road_bridge,8043.0
urgently_need,8040.0
sharp_increase,8040.0
look_forward,8036.0
supply_installation,8017.0
electricity_generation,8008.0
arable_land,8004.0
furnish_bank,7989.0
nearly_half,7978.0
free_charge,7958.0
consult_firm_activity,7951.0
quotation_envelope,7908.0
author_necessarily_represent,7882.0
long_distance,7880.0
time_bind,7857.0
request_proposal,7845.0
classify_category,7837.0
national_park,7836.0
school_enrollment,7834.0
standard_bidding_document,7826.0
developed_country,7811.0
recognize_importance,7810.0
quarterly_basis,7808.0
remedial_action,7798.0
mission_visit,7789.0
contingent_liability,7778.0
appraisal_mission,7778.0
strength_weakness,7774.0
audit_say_auditor,7768.0
finding_recommendation,7746.0
metropolitan_area,7738.0
disseminate_information,7735.0
shall_specify_notice,7733.0
tertiary_education,7724.0
physical_characteristic,7716.0
shed_light,7715.0
exercise_right,7713.0
tax_duty,7699.0
come_force,7697.0
productive_asset,7697.0
work_imply_judgment,7690.0
mobile_phone,7683.0
relative_importance,7671.0
drink_water,7663.0
wage_salary,7651.0
moderately_satisfactory,7639.0
reduce_vulnerability,7639.0
working_group,7636.0
newly_create,7626.0
east_west,7624.0
ensure_consistency,7620.0
environmental_degradation,7619.0
endorsement_acceptance_boundary,7619.0
commonly_use,7594.0
lay_foundation,7594.0
self_employ,7594.0
irrigation_scheme,7591.0
fruit_vegetable,7591.0
request_single_stage,7578.0
water_supply_sewerage,7558.0
metric_ton,7552.0
factor_influence,7542.0
work_boundary_color,7538.0
flood_control,7536.0
interested_party,7531.0
fiscal_consolidation,7521.0
denomination_information_map,7519.0
food_processing,7518.0
express_concern,7486.0
participatory_process,7483.0
food_crop,7483.0
copy_world_bank,7473.0
post_limited,7465.0
fiscal_space,7464.0
short_long_term,7463.0
lump_sum,7460.0
problem_solve,7449.0
stock_exchange,7447.0
ethnic_group,7442.0
qualification_specific,7435.0
far_possible,7428.0
qualified_staff,7427.0
small_medium_size,7417.0
web_site,7410.0
box_box,7408.0
training_session,7403.0
world_bank_affiliated_organization,7396.0
cost_physical_contingency,7382.0
post_request_bid_open,7373.0
disburse_effective,7373.0
small_medium_sized,7366.0
implementing_agency,7366.0
report_notice_invitation,7366.0
finance_eligible_expenditure,7360.0
association_cable_address,7352.0
life_expectancy_birth,7349.0
agree_lend,7345.0
record_keeping,7338.0
potable_water,7333.0
awareness_campaign,7330.0
private_operator,7313.0
issue_open_minute,7311.0
informal_sector,7308.0
vary_degree,7298.0
ethnic_minority,7293.0
emphasize_importance,7275.0
catchment_area,7264.0
technical_proposal_negotiate,7257.0
gender_equality,7250.0
ton_ton,7243.0
